Category,Name,Type,Background,Border,Usage,Description,Severity
Table,Table Header,表头,#F7F8FA,#E5E6EB,表格,浅灰背景-表头区域,High
Table,Table Row Default,表格行默认,#FFFFFF,#E5E6EB,表格,白色背景-默认行,High
Table,Table Row Hover,表格行悬停,#F2F3F5,#E5E6EB,表格,浅灰背景-悬停行,Medium
Table,Table Row Selected,表格行选中,#E8F3FF,#E5E6EB,表格,浅蓝背景-选中行,High
Table,Table Row Stripe,表格行斑马纹,#FAFBFC,#E5E6EB,表格,极浅灰背景-偶数行,Low
Modal,Modal Mask,模态遮罩,rgba(29 33 41 0.6),none,遮罩,深色半透明遮罩,High
Modal,Modal Content,模态内容,#FFFFFF,none,弹窗,白色背景-弹窗内容区,High
Tooltip,Tooltip Dark,深色提示,#4E5969,none,提示框,深灰背景白色文字,Medium
Tooltip,Tooltip Light,浅色提示,#FFFFFF,#E5E6EB,提示框,白色背景灰色边框,Medium
Dropdown,Dropdown Menu,下拉菜单,#FFFFFF,#E5E6EB,下拉框,白色背景带阴影,High
Dropdown,Dropdown Item Hover,下拉项悬停,#F2F3F5,none,下拉框,浅灰背景-悬停项,Medium
Dropdown,Dropdown Item Selected,下拉项选中,#E8F3FF,none,下拉框,浅蓝背景-选中项,High
Tag,Tag Default,默认标签,#F2F3F5,#E5E6EB,标签,灰色背景-默认标签,Medium
Tag,Tag Primary,主要标签,#E8F3FF,#BEDAFF,标签,浅蓝背景-信息标签,Medium
Tag,Tag Success,成功标签,#E8FFEA,#AFF0B5,标签,浅绿背景-成功标签,High
Tag,Tag Warning,警告标签,#FFF7E8,#FFCF8B,标签,浅橙背景-警告标签,High
Tag,Tag Error,错误标签,#FFECE8,#FDCDC5,标签,浅红背景-错误标签,High
