Category,Name,Value,Usage,Description,Severity
Form,Form Input Height Small,24px,小输入框高度,小号输入框高度24px,Medium
Form,Form Textarea Min Height,80px,文本域最小高度,文本域最小高度80px,Medium
Form,Form Error Margin,4px 0 0,错误提示间距,错误提示上边距4px,Medium
Modal,Modal Width Small,400px,小弹窗宽度,小型弹窗宽度400px,Medium
Modal,Modal Width Default,520px,默认弹窗宽度,默认弹窗宽度520px,High
Modal,Modal Width Large,720px,大弹窗宽度,大型弹窗宽度720px,Medium
Modal,Modal Width XLarge,960px,超大弹窗宽度,超大弹窗宽度960px,Low
Modal,Modal Padding,24px,弹窗内边距,弹窗内容区内边距24px,High
Modal,Modal Header Height,48px,弹窗头部高度,弹窗标题区高度48px,Medium
Modal,Modal Footer Height,52px,弹窗底部高度,弹窗按钮区高度52px,Medium
Modal,Modal Footer Padding,10px 16px,弹窗底部内边距,弹窗按钮区内边距,Medium
Drawer,Drawer Width Small,320px,小抽屉宽度,小型抽屉宽度320px,Medium
Drawer,Drawer Width Default,400px,默认抽屉宽度,默认抽屉宽度400px,High
Drawer,Drawer Width Large,560px,大抽屉宽度,大型抽屉宽度560px,Medium
Drawer,Drawer Header Height,48px,抽屉头部高度,抽屉标题区高度48px,Medium
Drawer,Drawer Padding,24px,抽屉内边距,抽屉内容区内边距24px,High
PageType,List Page,Header+Sider+Filter+Table,列表页布局,标准列表页布局结构,High
PageType,Detail Page,Header+Sider+Breadcrumb+Content,详情页布局,标准详情页布局结构,High
PageType,Form Page,Header+Sider+Breadcrumb+Form,表单页布局,标准表单页布局结构,High
PageType,Dashboard Page,Header+Sider+Cards+Charts,仪表盘布局,数据看板布局结构,Medium
PageType,Login Page,Centered Form,登录页布局,居中表单布局,Medium
Responsive,Breakpoint XS,<576px,超小屏断点,手机竖屏,Medium
Responsive,Breakpoint SM,≥576px,小屏断点,手机横屏,Medium
Responsive,Breakpoint MD,≥768px,中屏断点,平板竖屏,High
Responsive,Breakpoint LG,≥992px,大屏断点,平板横屏/小桌面,High
Responsive,Breakpoint XL,≥1200px,超大屏断点,桌面显示器,High
Responsive,Breakpoint XXL,≥1600px,巨大屏断点,大桌面显示器,Medium
Responsive,Sider Collapse,<992px,侧边栏收起断点,小于992px自动收起侧边栏,High
Responsive,Table Scroll,<768px,表格滚动断点,小于768px表格横向滚动,Medium
